*************Target variables in total: 74*************
Number of Fault Insertions: 751
Number of Faulty Executions: 751
,variable_name,max_risk_diff,quantile1,quantile2
31,s_4,0.25,0,5
30,z_0,0.25,0,4
33,_as_0,0.25,0,3
32,result_val_44,0.125,4,6
28,result_val_41,0.017068273092369468,0,8
24,term1_0,0.003012048192771122,0,9
23,x_9,0.002008032128514081,0,6
25,Ag_1,0.002008032128514081,4,0
27,term2_0,0.002008032128514081,0,2
51,eps5_0,0.0,0,0
50,corr_0,0.0,0,0
0,sgn_6,0.0,0,0
53,result_err_63,0.0,0,0
49,n1_0,0.0,0,0
48,n2_0,0.0,0,0
47,pade_0,0.0,0,0
46,num_0,0.0,0,0
45,den_0,0.0,0,0
44,result_err_58,0.0,0,0
52,result_err_64,0.0,0,0
54,stat_0,0.0,0,0
42,c0_5,0.0,0,0
55,c4_6,0.0,0,0
72,result_err_65,0.0,0,0
71,result_err_66,0.0,0,0
70,eps5_1,0.0,0,0
69,corr_1,0.0,0,0
68,n1_1,0.0,0,0
67,n2_1,0.0,0,0
66,pade_1,0.0,0,0
65,num_1,0.0,0,0
64,den_1,0.0,0,0
63,result_err_59,0.0,0,0
62,d1_1,0.0,0,0
61,c0_6,0.0,0,0
60,d2_1,0.0,0,0
59,c1_6,0.0,0,0
58,c2_8,0.0,0,0
57,c3_6,0.0,0,0
56,result_val_40,0.0,0,0
43,d1_0,0.0,0,0
37,result_val_39,0.0,0,0
41,d2_0,0.0,0,0
40,c1_5,0.0,0,0
2,c8_2,0.0,0,0
3,c7_3,0.0,0,0
4,c6_3,0.0,0,0
5,c5_5,0.0,0,0
6,c4_7,0.0,0,0
7,c3_7,0.0,0,0
8,g6_0,0.0,0,0
9,c2_9,0.0,0,0
10,c1_7,0.0,0,0
11,lgn_val_0,0.0,0,0
12,lgn_err_0,0.0,0,0
13,g_3,0.0,0,0
14,gee_0,0.0,0,0
15,c10_0,0.0,0,0
16,sgn_7,0.0,0,0
17,return_val_1,0.0,0,0
18,status_0,0.0,0,0
19,result_val_0,0.0,0,0
20,result_err_62,0.0,0,0
21,result_err_61,0.0,0,0
22,result_err_60,0.0,0,0
26,Ag_0,0.0,0,0
29,lg_z_err_0,0.0,0,0
34,result_err_69,0.0,0,0
35,return_val_0,0.0,0,0
36,c4_5,0.0,0,0
1,c9_2,0.0,0,0
38,c3_5,0.0,0,0
39,c2_7,0.0,0,0
73,stat_1,0.0,0,0
